time,Irr,v_wind,T_amb,T_water,P_elec_wind,P_pv,P_req,Q_provided,T_in,T_out,SOC,P_CCreq,P_bat,P_export,P_CC,Q_heat
0.0,0.0,6.46443734059772,276.713071748538,276.00045739883,440456.400815349,0.0,385550.6161352607,385550.6161352607,276.00045739883,363.5,0.5,0.0,440456.400815349,0.0,0.0,0.0
900.0,0.0,6.53640728698908,273.778027844961,273.652422275968,457775.3733842919,0.0,395896.8003713664,395896.8003713664,273.652422275968,363.5,0.5786529287170266,0.0,72224.75724903122,0.0,0.0,0.0
1800.0,0.0,7.05800827951702,275.987341042365,275.419872833892,574024.9941092585,0.0,388108.8550708717,388108.8550708717,275.419872833892,363.5,0.5915502067972107,0.0,178128.19373789214,0.0,0.0,0.0
2700.0,0.0,7.17023489210183,274.026616232134,273.851292985707,604001.3492242979,0.0,395020.5132229795,395020.5132229795,273.851292985707,363.5,0.6233588128218344,0.0,215892.4941534262,0.0,0.0,0.0
3600.0,0.0,7.47305308211638,275.544477013763,275.06558161101,681912.8925209693,0.0,389669.9740803287,389669.9740803287,275.06558161101,363.5,0.6619110439206605,0.0,286892.37929798977,0.0,0.0,0.0
4500.0,0.0,7.4803383260202,274.806223538711,274.474978830969,684830.584414694,0.0,392272.3564353303,392272.3564353303,274.474978830969,363.5,0.7131418259381587,0.0,295160.6103343653,0.0,0.0,0.0
5400.0,0.0,7.87734715092931,274.933598260419,274.576878608335,799573.5851267892,0.0,391823.3538373787,391823.3538373787,274.576878608335,363.5,0.765849077783581,0.0,407301.2286914589,0.0,0.0,0.0
6300.0,0.0,7.86377788953331,274.881059392403,274.534847513923,795524.9988513823,0.0,392008.556112335,392008.556112335,274.534847513923,363.5,0.838581440049913,0.0,403701.6450140036,0.0,0.0,0.0
7200.0,0.0,8.13594636673756,276.231458714113,275.61516697129,878851.5473057639,0.0,387248.32742966316,387248.32742966316,275.61516697129,363.5,0.9106710195166994,0.0,388242.2907064834,98600.70048694551,0.0,0.0
8100.0,0.0,8.01656327169891,275.131556702427,274.735245361942,842415.4545440032,0.0,391125.53991043236,391125.53991043236,274.735245361942,363.5,0.98,0.0,0.0,455167.1271143401,0.0,0.0
9000.0,0.0,8.27778000933236,275.062381975969,274.679905580775,927594.3393480505,0.0,391369.38446197443,391369.38446197443,274.679905580775,363.5,0.98,0.0,0.0,536468.7994376181,0.0,0.0
9900.0,0.0,8.1847292182248,274.317318489274,274.083854791419,897883.5971368112,0.0,393995.77246644214,393995.77246644214,274.083854791419,363.5,0.98,0.0,0.0,506514.2126748368,0.0,0.0
10800.0,0.0,8.46603791157279,275.98850896136,275.420807169088,990658.6033857026,0.0,388104.7380949449,388104.7380949449,275.420807169088,363.5,0.98,0.0,0.0,596662.8309192604,0.0,0.0
11700.0,0.0,8.75316279456661,273.343140304881,273.304512243905,1100210.0076431306,0.0,397429.8018389619,397429.8018389619,273.304512243905,363.5,0.98,0.0,0.0,712105.2695481856,0.0,0.0
12600.0,0.0,8.85823223035672,275.320657901888,274.886526321511,1136195.527354625,0.0,390458.9482296369,390458.9482296369,274.886526321511,363.5,0.98,0.0,0.0,738765.7255156632,0.0,0.0
13500.0,0.0,8.88234973307757,274.15922130945,273.95737704756,1147931.915676267,0.0,394553.0733462252,394553.0733462252,273.95737704756,363.5,0.98,0.0,0.0,757472.96744663,0.0,0.0
14400.0,0.0,8.88321541907018,276.366269287202,275.723015429762,1143655.744463215,0.0,386773.1130642278,386773.1130642278,275.723015429762,363.5,0.98,0.0,0.0,749102.6711169899,0.0,0.0
15300.0,0.0,8.96882305336344,275.228082256822,274.812465805458,1179482.68026655,0.0,390785.2822508978,390785.2822508978,274.812465805458,363.5,0.98,0.0,0.0,792709.5672023222,0.0,0.0
16200.0,0.0,9.07218810932468,275.414971151018,274.961976920814,1220318.9535172011,0.0,390126.48906260286,390126.48906260286,274.961976920814,363.5,0.98,0.0,0.0,829533.6712663034,0.0,0.0
17100.0,0.0,9.31395993828159,274.085950493987,273.89876039519,1323712.790022392,0.0,394811.3568270892,394811.3568270892,273.89876039519,363.5,0.98,0.0,0.0,933586.3009597892,0.0,0.0
18000.0,0.0,9.15395314093742,274.121218564818,273.926974851854,1256575.925354022,0.0,394687.03502119903,394687.03502119903,273.926974851854,363.5,0.98,0.0,0.0,861764.5685269329,0.0,0.0
18900.0,0.0,9.29768626554432,277.181829650816,276.375463720653,1309378.8441059228,0.0,383898.21985825954,383898.21985825954,276.375463720653,363.5,0.98,0.0,0.0,914691.8090847238,0.0,0.0
19800.0,0.0,9.29620738239265,274.453064630758,274.192451704606,1315275.7997196412,0.0,393517.26017317816,393517.26017317816,274.192451704606,363.5,0.98,0.0,0.0,931377.5798613817,0.0,0.0
20700.0,0.0,9.10137879488184,275.038032005408,274.660425604326,1232983.6243313397,0.0,391455.21938978037,391455.21938978037,274.660425604326,363.5,0.98,0.0,0.0,839466.3641581616,0.0,0.0
